"sampleName"	"Scer"	"Spar"	"site"	"hostType"	"latitude"	"longitude"	"vineyardAgr"	"genotype"	"genotypeStudy"	"GoogleSearchTerm"	"TmaxLat"	"TmaxLon"	"Tmax"
ZP653	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP654	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP655	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP656	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP657	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP658	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP674	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP675	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP676	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP677	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP678	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP680	1	0	ChibaJP	oaklike	35.246312	140.176551	unknown	ChibaOak	Almeida2015	"Chiba Prefecture, Japan"	35.25	140.175	285
ZP778	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP779	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP781	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP783	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP784	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP785	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP786	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP793	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP794	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP796	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP817	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
ZP823	1	0	HiruzenJP	oaklike	35.322722	133.664659	naturereserve	HiruzenOak	Almeida2015	"Hiruzen, Japan"	35.325	133.666666666667	263
DBVPG1788	1	0	TurkuFinland	soil	60.460762	22.269688	unknown	wine	Almeida2015	"Turku, Finland"	60.4583333333333	22.2666666666667	217
DBVPG1373	1	0	Wageningen	soil	51.986696	5.663492	agriculturalcollege	wine	Almeida2015	"Agricultural University of Wageningen, Netherlands"	51.9833333333333	5.66666666666667	214
UWOPS03-461.1	1	0	Malaysia	flower	4.302373	100.606857	unknown	MAL	Cromie2013	"Telok Senangin, Malaysia"	4.3	100.608333333333	321
UWOPS05-217.3	1	0	Malaysia	flower	4.302373	100.606857	unknown	MAL	Cromie2013	"Telok Senangin, Malaysia"	4.3	100.608333333333	321
UWOPS05-227.2	1	0	Malaysia	flower	4.302373	100.606857	unknown	MAL	Cromie2013	"Telok Senangin, Malaysia"	4.3	100.608333333333	321
UWOPS83_787.3	1	0	Bahamas	fruit	21.04798	-73.346012	naturereserve	mosaic	Cromie2013	"Great Inagua Island, Bahamas"	21.05	-73.35	322
UWOPS87_2421m	1	0	Hawaii	fruit	20.839376	-156.389162	unknown	mosaic	Cromie2013	"Pulehu Road, Maui, Hawaii"	20.8416666666667	-156.391666666667	288
DBS11	1	0	anGreece	fruit	40.2504	23.69257	wild	mosaic	Almeida2015	NA	40.25	23.6916666666667	315
DBS12	1	0	anGreece	fruit	40.2504	23.69257	wild	mosaic	Almeida2015	NA	40.25	23.6916666666667	315
DBQ22	1	0	anGreece	fruit	40.2504	23.69257	wild	wine	Almeida2015	NA	40.25	23.6916666666667	315
DBAE79.S	1	0	fgxGreece	fruit	38.12495	23.85544	unknown	EuropeanOak	Almeida2015	NA	38.125	23.8583333333333	308
DBV25.S	1	0	Sonim	figbark	41.710836	-7.228847	unknown	mosaic	Almeida2015	NA	41.7083333333333	-7.225	285
DBAC62.S	1	0	velGreece	fruit	38.13398	23.78009	unknown	wine	Almeida2015	NA	38.1333333333333	23.7833333333333	313
YPS1009	1	0	NewJersey	oaklike	40.388214	-74.405646	unknown	NAmerica2	Cromie2013	"New Jersey"	40.3916666666667	-74.4083333333333	297
YPS1000	1	0	NewJersey	oaklike	40.388214	-74.405646	unknown	mosaic	Almeida2015	"New Jersey"	40.3916666666667	-74.4083333333333	297
KEH03066	1	0	TysonMO	oaklike	38.524995	-90.562456	wild	mosaic	Cromie2013	"Tyson Research Center, Missouri"	38.525	-90.5583333333333	315
DY8	1	0	DoorWI	oaklike	44.939151	-87.306544	unknown	NAmerica1	Cromie2013	"Door County, Wisconsin"	44.9416666666667	-87.3083333333333	261
IY-36	1	0	WalkerLouisiana	insect	30.489483	-90.864817	unknown	NAmerica1	Cromie2013	"Walker, Louisiana"	30.4916666666667	-90.8666666666667	331
IY-41	1	0	WalkerLouisiana	insect	30.489483	-90.864817	unknown	NAmerica1	Cromie2013	"Walker, Louisiana"	30.4916666666667	-90.8666666666667	331
BW-1	1	0	BlackWaterMO	oaklike	38.979604	-92.990974	unknown	NAmerica1	Cromie2013	"Black Water, Missouri"	38.9833333333333	-92.9916666666667	319
KEH00012	1	0	ChaumMO	oaklike	37.767545	-90.160674	vineyard	NAmerica1	Cromie2013	"Chaumette Vineyards, Missouri"	37.7666666666667	-90.1583333333333	316
KEH00400	1	0	ChaumMO	oaklike	37.767545	-90.160674	vineyard	NAmerica1	Cromie2013	"Chaumette Vineyards, Missouri"	37.7666666666667	-90.1583333333333	316
KEH00463	1	0	MountPlMO	oaklike	38.570703	-90.885598	vineyard	NAmerica1	Cromie2013	"Mount Pleasant Winery, St Charles County, Missouri"	38.5666666666667	-90.8833333333333	321
KEH00497	1	0	MountPlMO	oaklike	38.570703	-90.885598	vineyard	NAmerica1	Cromie2013	"Mount Pleasant Winery, St Charles County, Missouri"	38.5666666666667	-90.8833333333333	321
KEH00673	1	0	MountPlMO	oaklike	38.570703	-90.885598	vineyard	NAmerica1	Cromie2013	"Mount Pleasant Winery, St Charles County, Missouri"	38.5666666666667	-90.8833333333333	321
KEH00729	1	0	MountPlMO	oaklike	38.570703	-90.885598	vineyard	NAmerica1	Cromie2013	"Mount Pleasant Winery, St Charles County, Missouri"	38.5666666666667	-90.8833333333333	321
KEH01027	1	0	WashingtMO	oaklike	37.975854	-90.867941	wild	NAmerica1	Cromie2013	"Washington County, MO"	37.975	-90.8666666666667	317
KEH01172	1	0	WashingtMO	oaklike	37.975854	-90.867941	wild	NAmerica1	Cromie2013	"Washington County, MO"	37.975	-90.8666666666667	317
KEH01205	1	0	WashingtMO	oaklike	37.975854	-90.867941	wild	NAmerica1	Cromie2013	"Washington County, MO"	37.975	-90.8666666666667	317
KEH01267	1	0	WashingtMO	oaklike	37.975854	-90.867941	wild	NAmerica1	Cromie2013	"Washington County, MO"	37.975	-90.8666666666667	317
KEH01422	1	0	WashingtMO	oaklike	37.975854	-90.867941	wild	NAmerica1	Cromie2013	"Washington County, MO"	37.975	-90.8666666666667	317
KEH02439	1	0	BentonOR	oaklike	44.493053	-123.396281	wild	NAmerica1	Cromie2013	"Benton County, OR"	44.4916666666667	-123.4	266
KEH02441	1	0	BentonOR	oaklike	44.493053	-123.396281	wild	NAmerica1	Cromie2013	"Benton County, OR"	44.4916666666667	-123.4	266
KEH02503	1	0	BentonOR	oaklike	44.493053	-123.396281	wild	NAmerica1	Cromie2013	"Benton County, OR"	44.4916666666667	-123.4	266
KEH02509	1	0	BentonOR	oaklike	44.493053	-123.396281	wild	NAmerica1	Cromie2013	"Benton County, OR"	44.4916666666667	-123.4	266
KEH02518	1	0	BentonOR	oaklike	44.493053	-123.396281	wild	NAmerica1	Cromie2013	"Benton County, OR"	44.4916666666667	-123.4	266
KEH02707	1	0	ChaumMO	fruit	37.767545	-90.160674	vineyard	NAmerica1	Cromie2013	"Chaumette Vineyards, Missouri"	37.7666666666667	-90.1583333333333	316
KEH02773	1	0	ChaumMO	fruit	37.767545	-90.160674	vineyard	NAmerica1	Cromie2013	"Chaumette Vineyards, Missouri"	37.7666666666667	-90.1583333333333	316
KEH02926	1	0	ChaumMO	fruit	37.767545	-90.160674	vineyard	NAmerica1	Cromie2013	"Chaumette Vineyards, Missouri"	37.7666666666667	-90.1583333333333	316
KEH03027	1	0	TysonMO	oaklike	38.524995	-90.562456	wild	NAmerica1	Cromie2013	"Tyson Research Center, Missouri"	38.525	-90.5583333333333	315
KEH01135	1	0	TysonMO	oaklike	38.524995	-90.562456	wild	mosaic	Cromie2013	"Tyson Research Center, Missouri"	38.525	-90.5583333333333	315
IN-1	1	0	Indianapolis	oaklike	39.781895	-86.156439	unknown	mosaic	Cromie2013	"Indianapolis, Indiana"	39.7833333333333	-86.1583333333333	298
BF3	1	0	BorderCA	soil	32.544928	-117.122015	naturereserve	mosaic	Cromie2013	"Border Field State Park, San Diego County, California"	32.5416666666667	-117.125	253
YPS163	1	0	LimaPA	oaklike	39.920672	-75.441242	unknown	NAmerica2	Cromie2013	"Lima, PA"	39.9166666666667	-75.4416666666667	295
LAS-PR	1	0	SeattleWA	flower	47.605127	-122.325949	unknown	NAmerica2	Cromie2013	"Seattle, WA"	47.6083333333333	-122.325	234
CP-1	1	0	ChickiesPA	oaklike	40.048466	-76.518373	naturereserve	NAmerica2	Cromie2013	"Chickies Point Park, York, Pennsylvania"	40.05	-76.5166666666667	294
KEH00411	1	0	ChaumMO	oaklike	37.767545	-90.160674	vineyard	NAmerica1	Cromie2013	"Chaumette Vineyards, Missouri"	37.7666666666667	-90.1583333333333	316
KEH01146	1	0	TysonMO	oaklike	38.524995	-90.562456	wild	NAmerica	Cromie2013	"Tyson Research Center, Missouri"	38.525	-90.5583333333333	315
KEH02595	1	0	ChaumMO	fruit	37.767545	-90.160674	vineyard	NAmerica1	Cromie2013	"Chaumette Vineyards, Missouri"	37.7666666666667	-90.1583333333333	316
NC-02	1	0	NorthCarolina	oaklike	35.626398	-78.721224	unknown	NAmerica2	Cromie2013	"North Carolina"	35.625	-78.725	316
TN-1	1	0	NorrisTennessee	oaklike	36.215364	-84.061158	unknown	NAmerica2	Cromie2013	"Norris, Tennessee"	36.2166666666667	-84.0583333333333	303
NRRLYB210	1	0	CostaRica	fruit	10.025305	-83.872409	unknown	mosaic	Cromie2013	"Costa Rica"	10.025	-83.875	218
TY12	1	0	TanzaniaAfrica	drink	-6.569319	35.233059	unknown	mosaic	Cromie2013	"Tanzania, Africa"	-6.56666666666667	35.2333333333333	314
TY19	1	0	TanzaniaAfrica	drink	-6.569319	35.233059	unknown	mosaic	Cromie2013	"Tanzania, Africa"	-6.56666666666667	35.2333333333333	314
EC-59	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	mosaic	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-36	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	mosaic	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-58	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	mosaic	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-57	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	mosaic	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
BF4	1	0	BorderCA	soil	32.544928	-117.122015	naturereserve	mosaic	Cromie2013	"Border Field State Park, San Diego County, California"	32.5416666666667	-117.125	253
NRRLY-12717	1	0	Nepal	food	28.213581	84.208157	unknown	mosaic	Cromie2013	"Nepal"	28.2166666666667	84.2083333333333	307
Y12	1	0	IvoryCoast	drink	7.654409	-5.344298	unknown	Asia	Cromie2013	"Ivory Coast"	7.65833333333333	-5.34166666666667	348
Y9g	1	0	JavaIndonesia	food	-7.328187	110.693212	unknown	Asia	Cromie2013	"Java, Indonesia"	-7.325	110.691666666667	327
Y9r	1	0	JavaIndonesia	food	-7.328187	110.693212	unknown	Asia	Cromie2013	"Java, Indonesia"	-7.325	110.691666666667	327
Y-12632	1	0	Rotterdam	humanassociated	51.905314	4.481308	brewery	mosaic	Cromie2013	"Rotterdam, Netherlands"	51.9083333333333	4.48333333333333	210
Y-2190	1	0	YosemiteCA	insect	37.865135	-119.538195	naturereserve	mosaic	Cromie2013	"Yosemite, CA"	37.8666666666667	-119.541666666667	202
CBS7764	1	0	GothenburgSweden	fishgut	57.723962	11.9699	unknown	human4	Cromie2013	"Gothenburg, Sweden"	57.725	11.9666666666667	205
YB-432	1	0	Cuba	fruit	21.76575	-78.519582	unknown	human4	Cromie2013	"Cuba"	21.7666666666667	-78.5166666666667	336
EC-5	1	0	MtCarmelIsrael	leaf	32.729766	35.046688	unknown	human4	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-3	1	0	MtCarmelIsrael	leaf	32.729766	35.046688	unknown	human4	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-23	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	human4	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
CBS7960	1	0	SaoPauloBrazil	factory	-23.571588	-46.671717	unknown	mosaic	Cromie2013	"Sao Paulo, Brazil"	-23.575	-46.675	262
Y-11878	1	0	Jamaica	drink	18.206859	-77.326814	unknown	mosaic	Cromie2013	"Jamaica"	18.2083333333333	-77.325	266
IL-01	1	0	CahokiaIL	oaklike	38.567998	-90.179325	unknown	mosaic	Cromie2013	"Cahokia, IL"	38.5666666666667	-90.1833333333333	323
G89	1	0	Ghana	fermentation	7.087089	-0.273113	unknown	mosaic	Cromie2013	"approx 150km North of Accra, Ghana"	7.08333333333333	-0.275	349
LAS-PA	1	0	SeattleWA	fruit	47.605127	-122.325949	unknown	mosaic	Cromie2013	"Seattle, WA"	47.6083333333333	-122.325	234
KEH00088	1	0	ChaumMO	oaklike	37.767545	-90.160674	vineyard	mosaic	Cromie2013	"Chaumette Vineyards, Missouri"	37.7666666666667	-90.1583333333333	316
G86	1	0	Ghana	fermentation	7.087089	-0.273113	unknown	mosaic	Cromie2013	"approx 150km North of Accra, Ghana"	7.08333333333333	-0.275	349
AY529515	1	0	Ghana	fermentation	7.087089	-0.273113	unknown	mosaic	Cromie2013	"approx 150km North of Accra, Ghana"	7.08333333333333	-0.275	349
AY529516	1	0	Ghana	fermentation	7.087089	-0.273113	unknown	mosaic	Cromie2013	"approx 150km North of Accra, Ghana"	7.08333333333333	-0.275	349
G205	1	0	Ghana	fermentation	7.087089	-0.273113	unknown	mosaic	Cromie2013	"approx 150km North of Accra, Ghana"	7.08333333333333	-0.275	349
AY529517	1	0	Ghana	fermentation	7.087089	-0.273113	unknown	mosaic	Cromie2013	"approx 150km North of Accra, Ghana"	7.08333333333333	-0.275	349
AY529518	1	0	Ghana	fermentation	7.087089	-0.273113	unknown	mosaic	Cromie2013	"approx 150km North of Accra, Ghana"	7.08333333333333	-0.275	349
PW5	1	0	AbaNigeria	fermentation	5.117313	7.370551	unknown	MAL	Cromie2013	"Aba, Abia State, Nigeria"	5.11666666666667	7.36666666666667	323
EC-13	1	0	MtCarmelIsrael	leaf	32.729766	35.046688	unknown	Israel	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-34	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	Israel	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-60	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	Israel	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-33	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	Israel	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-35	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	Israel	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-14	1	0	MtCarmelIsrael	leaf	32.729766	35.046688	unknown	Israel	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
EC-14p	1	0	MtCarmelIsrael	leaf	32.729766	35.046688	unknown	Israel	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
YB-1952	1	0	FrenchGuyana	unknown	3.933238	-53.076588	unknown	mosaic	Cromie2013	"French Guyana"	3.93333333333333	-53.075	315
YB-427	1	0	FrenchGuyana	drink	10.449115	-61.24542	unknown	mosaic	Cromie2013	"Trinidad Tobago"	10.45	-61.2416666666667	307
Y-6277	1	0	Florida	drink	28.479075	-81.597299	unknown	mosaic	Cromie2013	"Florida"	28.475	-81.6	331
EC-63	1	0	MtCarmelIsrael	soil	32.729766	35.046688	unknown	Israel	Cromie2013	"Mount Carmel, Israel"	32.7333333333333	35.05	299
BF9	1	0	BorderCA	soil	32.544928	-117.122015	naturereserve	mosaic	Cromie2013	"Border Field State Park, San Diego County, California"	32.5416666666667	-117.125	253
Y-2222	1	0	Netherlands	buttermilk	52.165845	5.62544	unknown	mosaic	Cromie2013	"Netherlands"	52.1666666666667	5.625	212
BF2	1	0	BorderCA	soil	32.544928	-117.122015	naturereserve	mosaic	Cromie2013	"Border Field State Park, San Diego County, California"	32.5416666666667	-117.125	253
DCM21	1	0	DoorWI	fruit	44.939151	-87.306544	unknown	mosaic	Cromie2013	"Door County, Wisconsin"	44.9416666666667	-87.3083333333333	261
BF5	1	0	BorderCA	soil	32.544928	-117.122015	naturereserve	mosaic	Cromie2013	"Border Field State Park, San Diego County, California"	32.5416666666667	-117.125	253
DCM6	1	0	DoorWI	fruit	44.939151	-87.306544	unknown	mosaic	Cromie2013	"Door County, Wisconsin"	44.9416666666667	-87.3083333333333	261
BF6	1	0	BorderCA	soil	32.544928	-117.122015	naturereserve	mosaic	Cromie2013	"Border Field State Park, San Diego County, California"	32.5416666666667	-117.125	253
BF7	1	0	BorderCA	soil	32.544928	-117.122015	naturereserve	mosaic	Cromie2013	"Border Field State Park, San Diego County, California"	32.5416666666667	-117.125	253
BF8	1	0	BorderCA	soil	32.544928	-117.122015	naturereserve	mosaic	Cromie2013	"Border Field State Park, San Diego County, California"	32.5416666666667	-117.125	253
TY08	1	0	TanzaniaAfrica	drink	-6.569319	35.233059	unknown	mosaic	Cromie2013	"Tanzania, Africa"	-6.56666666666667	35.2333333333333	314
Soil13-1	1	0	MattuaNZ	soil	-36.742366	174.506514	vineyard	mosaic	Cromie2013	"Matua Valley Wines, New Zealand"	-36.7416666666667	174.508333333333	239
I14	1	0	PetinaItaly	soil	40.532698	15.374938	vineyard	mosaic	Cromie2013	"Petina, Italy"	40.5333333333333	15.375	269
