queryname	DBuid	strainUID	sampleName	classification	species	originalfilename	closestBlastSpecies	Ascore	Evalue	Cscore	Pscore	GenBankAccession
AN1f.1_ITS	DBP11	AN1f.1	AN1f	Scer	Saccharomyces cerevisiae	AN1f1ITS.fa	Saccharomyces cerevisiae	1323	0.0	NA	1263	KT206986
AN1g.2m_CEN9	DBP59	AN1g.2m	AN1g	Scer,otherAmplifiedITS	Saccharomyces cerevisiae	AN1g2mc9.fa	Saccharomyces cerevisiae	639	0.0	NA	NA	KT206987
AN1g.2m_CEN6	DBP59	AN1g.2m	AN1g	Scer,otherAmplifiedITS	Saccharomyces cerevisiae	AN1g2mc6.fa	Saccharomyces cerevisiae	313	2e-82	NA	NA	NA
AN1g.SM_CEN9	DBN26	AN1g.SM	AN1g	Scer,otherAmplifiedITS	Saccharomyces cerevisiae	AN1gSMc9.fa	Saccharomyces cerevisiae	645	0.0	NA	NA	KT206988
AN1g.1_ITS	DBP12	AN1g.1	AN1g	Scer,otherAmplifiedITS	Saccharomycetales sp.	AN1g1ITSr.fa	Pichia kudriavzevii	774	0.0	NA	226	KT206989
AN1g.1_ITS	DBP12	AN1g.1	AN1g	Scer,otherAmplifiedITS	Saccharomycetales sp.	AN1g1ITSr.fa	Candida xylopsoci	774	0.0	NA	226	KT206989
AN1h.SM_ITS	DBN27	AN1h.SM	AN1h	otherAmplifiedITS	Starmerella bacillaris	AN1hSMITS.fa	Starmerella bacillaris	776	0.0	NA	159	KT206990
AN1h.SM_ITS	DBN27	AN1h.SM	AN1h	otherAmplifiedITS	Starmerella bacillaris	AN1hSMITS.fa	Starmerella bacillaris	776	0.0	NA	159	KT206990
AN1i.SM_ITS	DBN28	AN1i.SM	AN1i	otherAmplifiedITS	Meyerozyma sp.	AN1iSMITS.fa	Candida carpophila	1040	0.0	NA	297	KT206991
AN1i.SM_ITS	DBN28	AN1i.SM	AN1i	otherAmplifiedITS	Meyerozyma sp.	AN1iSMITS.fa	Meyerozyma caribbica	1040	0.0	NA	297	KT206991
AN1i.SM_ITS	DBN28	AN1i.SM	AN1i	otherAmplifiedITS	Meyerozyma sp.	AN1iSMITS.fa	Pichia guilliermondii	1040	0.0	NA	297	KT206991
AN1i.SM_ITS	DBN28	AN1i.SM	AN1i	otherAmplifiedITS	Meyerozyma sp.	AN1iSMITS.fa	Candida fukuyamaensis	1040	0.0	NA	297	KT206991
AN1j.SM_ITS	DBN29	AN1j.SM	AN1j	otherAmplifiedITS	Pichia kudriavzevii	AN1jSMITS.fa	Pichia kudriavzevii	881	0.0	NA	226	KT206992
AN1j.SM_ITS	DBN29	AN1j.SM	AN1j	otherAmplifiedITS	Pichia kudriavzevii	AN1jSMITS.fa	Pichia kudriavzevii	881	0.0	NA	226	KT206992
AN2b.SM_ITS	DBN30	AN2b.SM	AN2b	otherAmplifiedITS	Starmerella bacillaris	AN2bSMITS.fa	Starmerella bacillaris	787	0.0	NA	159	KT206993
AN2b.SM_ITS	DBN30	AN2b.SM	AN2b	otherAmplifiedITS	Starmerella bacillaris	AN2bSMITS.fa	Starmerella bacillaris	787	0.0	NA	159	KT206993
AN2d.SM_ITS	DBN31	AN2d.SM	AN2d	otherAmplifiedITS	Zygosaccharomyces bailii	AN2dSMITSf1.fa	Zygosaccharomyces bailii	370	6e-100	NA	NA	NA
AN2e.SM_ITS	DBN32	AN2e.SM	AN2e	otherAmplifiedITS	Starmerella bacillaris	AN2eSMITS.fa	Starmerella bacillaris	783	0.0	NA	159	KT206994
AN2e.SM_ITS	DBN32	AN2e.SM	AN2e	otherAmplifiedITS	Starmerella bacillaris	AN2eSMITS.fa	Starmerella bacillaris	783	0.0	NA	159	KT206994
AN2f.SM_ITS	DBN33	AN2f.SM	AN2f	otherAmplifiedITS	Starmerella bacillaris	AN2fSMITS.fa	Starmerella bacillaris	787	0.0	NA	159	KT206995
AN2f.SM_ITS	DBN33	AN2f.SM	AN2f	otherAmplifiedITS	Starmerella bacillaris	AN2fSMITS.fa	Starmerella bacillaris	787	0.0	NA	159	KT206995
AN2f.1_ITS	DBP75	AN2f.1	AN2f	otherAmplifiedITS	Starmerella bacillaris	AN2f1ITS.fa	Starmerella bacillaris	798	0.0	NA	159	KT206996
AN2f.YM_ITS	DBP74	AN2f.YM	AN2f	otherAmplifiedITS	Starmerella bacillaris	AN2fYMITS.fa	Starmerella bacillaris	816	0.0	NA	159	KT206997
AN2g.1_ITS	DBP76	AN2g.1	AN2g	otherAmplifiedITS	Hanseniaspora guilliermondii	AN2g1ITS.fa	Hanseniaspora guilliermondii	1223	0.0	NA	289	KT206998
AN2g.2_ITS	DBP77	AN2g.2	AN2g	otherAmplifiedITS	Hanseniaspora guilliermondii	AN2g2ITS.fa	Hanseniaspora guilliermondii	1193	0.0	NA	289	KT206999
AN2g.4_ITS	DBP79	AN2g.4	AN2g	otherAmplifiedITS	Hanseniaspora guilliermondii	AN2g4ITS.fa	Hanseniaspora guilliermondii	1252	0.0	NA	289	KT207000
AN2i.SM_ITS	DBN35	AN2i.SM	AN2i	otherAmplifiedITS	Lachancea thermotolerans	AN2iSMITS.fa	Lachancea thermotolerans	1124	0.0	NA	352	KT207001
AN2j.SM_ITS	DBN36	AN2j.SM	AN2j	otherAmplifiedITS	Starmerella bacillaris	AN2jSMITS.fa	Starmerella bacillaris	769	0.0	NA	159	KT207002
AN2j.SM_ITS	DBN36	AN2j.SM	AN2j	otherAmplifiedITS	Starmerella bacillaris	AN2jSMITS.fa	Starmerella bacillaris	769	0.0	NA	159	KT207002
AN2j.YM_ITS	DBP80	AN2j.YM	AN2j	otherAmplifiedITS	Starmerella bacillaris	AN2jYMITS.fa	Starmerella bacillaris	796	0.0	NA	159	KT207003
AN3a.SM_ITS	DBN38	AN3a.SM	AN3a	otherAmplifiedITS	Candida inconspicua	AN3aSMITS.fa	Candida inconspicua	773	0.0	NA	226	KT207004
AN3b.SM_ITS	DBN39	AN3b.SM	AN3b	otherAmplifiedITS	Zygosaccharomyces bailii	AN3bSMITS.fa	Zygosaccharomyces bailii	818	0.0	NA	217	KT207005
AN3c.SM_ITS	DBN40	AN3c.SM	AN3c	otherAmplifiedITS	Starmerella bacillaris	AN3cSMITS.fa	Starmerella bacillaris	803	0.0	NA	159	KT207006
AN3d.SM_ITS	DBN41	AN3d.SM	AN3d	otherAmplifiedITS	Pichia kudriavzevii	AN3dSMITS.fa	Pichia kudriavzevii	706	0.0	NA	223	KT207007
AN3e.1.1_CEN15	DBP60	AN3e.1.1	AN3e	Scer,otherAmplifiedITS	Saccharomyces cerevisiae	AN3e1_1c15.fa	Saccharomyces cerevisiae	1133	0.0	NA	167	KT207008
AN3e.1_CEN15	DBP13	AN3e.1	AN3e	Scer,otherAmplifiedITS	Saccharomyces cerevisiae	AN3e1c15.fa	Saccharomyces cerevisiae	1128	0.0	NA	168	KT207009
AN3e.1.1_CEN6	DBP60	AN3e.1.1	AN3e	Scer,otherAmplifiedITS	Saccharomyces cerevisiae	AN3e1_1c6.fa	Saccharomyces cerevisiae	1090	0.0	NA	NA	KT207010
AN3e.1_CEN6	DBP13	AN3e.1	AN3e	Scer,otherAmplifiedITS	Saccharomyces cerevisiae	AN3e1c6.fa	Saccharomyces cerevisiae	1094	0.0	NA	NA	KT207011
AN3e.2.1_ITS	DBP61	AN3e.2.1	AN3e	Scer,otherAmplifiedITS	Pichia kudriavzevii	AN3e2_1ITS.fa	Pichia kudriavzevii	711	0.0	NA	223	KT207012
AN3e.SM_CEN9	DBN42	AN3e.SM	AN3e	Scer,otherAmplifiedITS	Saccharomyces cerevisiae	AN3eSMc9.fa	Saccharomyces cerevisiae	1121	0.0	NA	100	KT207013
AN4F.1A_ITS	DBAB71	AN4F.1A	AN4f	otherAmplifiedITS	Saccharomyces sp.	an4f_1a_s1l.fa	Saccharomyces paradoxus	679	0.0	NA	679	NA
AN4H.1_ITS	DBAL44	AN4H.1	AN4h	otherAmplifiedITS	Saccharomyces sp.	AN4H_1S1L.fa	Saccharomyces paradoxus	792	0.0	NA	792	NA
AN4J.1_ITS	DBAL23	AN4J.1	AN4j	otherAmplifiedITS	Hanseniaspora guilliermondii	AN4j1ITSfq25.fa	Hanseniaspora guilliermondii	475	2e-131	NA	NA	NA
BobH.1_ITS	DBAD08	BobH.1	BOBh	otherAmplifiedITS	Hanseniaspora opuntiae	BOBH1S1Lfwd&rev.fa	Hanseniaspora opuntiae	1112	0.0	NA	289	KT207014
BobH.YM_ITS	DBAD07	BobH.YM	BOBh	otherAmplifiedITS	Hanseniaspora opuntiae	BOBHYMS1Lfwd&rev.fa	Hanseniaspora opuntiae	1101	0.0	NA	286	KT207015
CHO3b.2_ITS	DBI33	CHO3b.2	CHO3b	otherAmplifiedITS	Lachancea thermotolerans	CHO3b2.fa	Lachancea thermotolerans	1110	0.0	NA	358	KT207016
CR1a.1_ITS	DBV18	CR1a.1	CR1a	otherAmplifiedITS	Meyerozyma sp.	CR1A1_ITS2.fa	Meyerozyma caribbica	942	0.0	NA	297	KT207017
CR1a.1_ITS	DBV18	CR1a.1	CR1a	otherAmplifiedITS	Meyerozyma sp.	CR1A1_ITS2.fa	Candida carpophila	942	0.0	NA	297	KT207017
CR1a.1_ITS	DBV18	CR1a.1	CR1a	otherAmplifiedITS	Meyerozyma sp.	CR1A1_ITS2.fa	Meyerozyma guilliermondii	942	0.0	NA	297	KT207017
CR1a.1_ITS	DBV18	CR1a.1	CR1a	otherAmplifiedITS	Meyerozyma sp.	CR1A1_ITS2.fa	Pichia guilliermondii	942	0.0	NA	297	KT207017
CR1f.1_ITS	DBV20	CR1f.1	CR1f	otherAmplifiedITS	Meyerozyma sp.	CRIF1_ITS2.fa.fa	Candida carpophila	1117	0.0	NA	297	KT207018
CR1f.1_ITS	DBV20	CR1f.1	CR1f	otherAmplifiedITS	Meyerozyma sp.	CRIF1_ITS2.fa.fa	Candida fukuyamaensis	1117	0.0	NA	297	KT207018
CR1f.1_ITS	DBV20	CR1f.1	CR1f	otherAmplifiedITS	Meyerozyma sp.	CRIF1_ITS2.fa.fa	Pichia caribbica	1117	0.0	NA	297	KT207018
CR1k.1_ITS	DBV22	CR1k.1	CR1k	otherAmplifiedITS	Meyerozyma sp.	CR1K1_ITS2fwd&rev.fa	Meyerozyma caribbica	890	0.0	NA	297	KT207019
CR1k.1_ITS	DBV22	CR1k.1	CR1k	otherAmplifiedITS	Meyerozyma sp.	CR1K1_ITS2fwd&rev.fa	Candida carpophila	890	0.0	NA	297	KT207019
CR1k.1_ITS	DBV22	CR1k.1	CR1k	otherAmplifiedITS	Meyerozyma sp.	CR1K1_ITS2fwd&rev.fa	Meyerozyma guilliermondii	890	0.0	NA	297	KT207019
CR1k.1_ITS	DBV22	CR1k.1	CR1k	otherAmplifiedITS	Meyerozyma sp.	CR1K1_ITS2fwd&rev.fa	Pichia guilliermondii	890	0.0	NA	297	KT207019
CRO10I.1_ITS	DBAF30	CRO10I.1	CRO10i	otherAmplifiedITS	Hanseniaspora osmophila	CRO10i1ITS2fq25.fa	Hanseniaspora osmophila	289	2e-75	NA	NA	NA
CRO12b.1_CEN15	DBL38	CRO12b.1	CRO12b	Spar	Saccharomyces paradoxus	CRO12b1c15.fa	Saccharomyces paradoxus	911	0.0	NA	810	KT207020
CRO12b.1_CEN6	DBL38	CRO12b.1	CRO12b	Spar	Saccharomyces paradoxus	CRO12b1c6.fa	Saccharomyces cerevisiae	105	4e-20	NA	NA	KT207021
CRO12b.1_CEN9	DBL38	CRO12b.1	CRO12b	Spar	Saccharomyces paradoxus	CRO12b1c9.fa	Saccharomyces paradoxus	791	0.0	NA	713	KT207022
CRO13G.1_ITS	DBZ81	CRO13G.1	CRO13g	otherAmplifiedITS	Zygosaccharomyces florentinus	CRO13G1_ITS2.fa.fa	Zygosaccharomyces florentinus	695	0.0	NA	356	KT207023
CRO1k.SM_ITS	DBM78	CRO1k.SM	CRO1k	otherAmplifiedITS	Wickerhamomyces anomalus	CRO1kSMITS.fa	Wickerhamomyces anomalus	1027	0.0	NA	304	KT207024
CRO1k.SM_ITS	DBM78	CRO1k.SM	CRO1k	otherAmplifiedITS	Wickerhamomyces anomalus	CRO1kSMITS.fa	Wickerhamomyces anomalus	1027	0.0	NA	304	KT207024
CRO1l.1_CEN6	DBM71	CRO1l.1	CRO1l	Spar	Saccharomyces paradoxus	CRO1l1c6.fa	Saccharomyces cerevisiae	123	2e-25	NA	NA	KT207026
CRO1l.1_CEN9	DBM71	CRO1l.1	CRO1l	Spar	Saccharomyces paradoxus	CRO1l1c9.fa	Saccharomyces paradoxus	991	0.0	NA	879	KT207027
CRO1l.1_CEN15	DBM71	CRO1l.1	CRO1l	Spar	Saccharomyces paradoxus	CRO1l1c15.fa	Saccharomyces paradoxus	1045	0.0	NA	911	KT207025
CRO1l.1_CEN6_2	DBM71	CRO1l.1	CRO1l	Spar	Saccharomyces paradoxus	CRO1l1c6.1.fa	Saccharomyces cerevisiae	136	2e-29	NA	NA	NA
CRO1l.1_CEN9_2	DBM71	CRO1l.1	CRO1l	Spar	Saccharomyces paradoxus	CRO1l1c9.1.fa	Saccharomyces paradoxus	1103	0.0	NA	966	NA
CRO2d.1_CEN15	DBI51	CRO2d.1	CRO2d	Spar	Saccharomyces paradoxus	CRO2d1c15.fa	Saccharomyces paradoxus	1018	0.0	NA	886	KT207028
CRO2e.1_CEN15	DBI54	CRO2e.1	CRO2e	Spar	Saccharomyces paradoxus	CRO2e1c15.fa	Saccharomyces paradoxus	985	0.0	NA	872	KT207029
CRO2f.1_CEN15	DBI56	CRO2f.1	CRO2f	Spar	Saccharomyces paradoxus	CRO2f1c15.fa	Saccharomyces paradoxus	1031	0.0	NA	902	KT207030
CRO3d.1_CEN15	DBI59	CRO3d.1	CRO3d	Spar	Saccharomyces paradoxus	CRO3d1c15.fa	Saccharomyces paradoxus	960	0.0	NA	854	KT207031
CRO3e.1_CEN15	DBI61	CRO3e.1	CRO3e	Spar	Saccharomyces paradoxus	CRO3e1c15.fa	Saccharomyces paradoxus	845	0.0	NA	774	KT207032
CRO3o.1_ITS	DBZ74	CRO3o.1	CRO3o	otherAmplifiedITS	Kluyveromyces dobzhanskii	CRO301_ITS2.fa.fa	Kluyveromyces dobzhanskii	1177	0.0	NA	309	KT207033
CRO4a.1_CEN15	DBL32	CRO4a.1	CRO4a	Spar	Saccharomyces paradoxus	CRO4a1c15.fa	Saccharomyces paradoxus	924	0.0	NA	852	KT207034
CRO6b.1_ITS	DBL34	CRO6b.1	CRO6b	otherAmplifiedITS	Lachancea thermotolerans	CRO6b1ITS1.fa	Lachancea thermotolerans	1108	0.0	NA	358	KT207035
CRO6c.SM_ITS	DBM73	CRO6c.SM	CRO6c	otherAmplifiedITS	Wickerhamomyces anomalus	CRO6cSMITS.fa	Wickerhamomyces anomalus	1052	0.0	NA	304	KT207036
CRO6c.SM_ITS	DBM73	CRO6c.SM	CRO6c	otherAmplifiedITS	Wickerhamomyces anomalus	CRO6cSMITS.fa	Wickerhamomyces anomalus	1052	0.0	NA	304	KT207036
CRO7e.1_CEN6	DBM81	CRO7e.1	CRO7e	Spar	Saccharomyces paradoxus	CRO7e1c6.fa	Saccharomyces cerevisiae	120	2e-24	NA	NA	KT207039
CRO7e.1_CEN9	DBM81	CRO7e.1	CRO7e	Spar	Saccharomyces paradoxus	CRO7e1c9.fa	Saccharomyces paradoxus	994	0.0	NA	890	KT207040
CRO7e_CEN15	DBL47	CRO7e	CRO7e	Spar	Saccharomyces paradoxus	CRO7ec15.fa	Saccharomyces paradoxus	996	0.0	NA	865	KT207037
CRO7e.1_CEN15	DBM81	CRO7e.1	CRO7e	Spar	Saccharomyces paradoxus	CRO7e1c15.fa	Saccharomyces paradoxus	1198	0.0	NA	1056	KT207038
CRO7e.1_CEN6_2	DBM81	CRO7e.1	CRO7e	Spar	Saccharomyces paradoxus	CRO7e1c6.1.fa	Saccharomyces cerevisiae	136	2e-29	NA	NA	NA
CRO7e.1_CEN9_2	DBM81	CRO7e.1	CRO7e	Spar	Saccharomyces paradoxus	CRO7e1c9.1.fa	Saccharomyces paradoxus	1090	0.0	NA	949	NA
CRO7I.1_ITS	DBZ76	CRO7I.1	CRO7i	otherAmplifiedITS	Zygotorulaspora florentina	CRO7I1_ITS2.fa.fa	Zygotorulaspora florentina	890	0.0	NA	356	KT207041
CRO8a.1_CEN15	DBL36	CRO8a.1	CRO8a	Spar	Saccharomyces paradoxus	CRO8a1c15.fa	Saccharomyces paradoxus	962	0.0	NA	838	KT207042
DAV10B.1_ITS	DBAK40	DAV10B.1	DAV10b	otherAmplifiedITS	Wickerhamomyces anomalus	DAV10B1ITS2.fa	Wickerhamomyces anomalus	937	0.0	NA	304	KT207043
DAV10B.SM_ITS	DBAK41	DAV10B.SM	DAV10b	otherAmplifiedITS	Wickerhamomyces anomalus	DAV10BSM_ITS2.fa	Wickerhamomyces anomalus	1020	0.0	NA	304	KT207044
DAV10B.SM_ITS	DBAK41	DAV10B.SM	DAV10b	otherAmplifiedITS	Wickerhamomyces anomalus	DAV10BSM_ITS2.fa	Wickerhamomyces anomalus	1020	0.0	NA	304	KT207044
DAV10C.1_ITS	DBAK42	DAV10C.1	DAV10c	otherAmplifiedITS	Wickerhamomyces anomalus	DAV10C1ITS2.fa	Wickerhamomyces anomalus	1016	0.0	NA	304	KT207045
DAV10C.1_ITS	DBAK42	DAV10C.1	DAV10c	otherAmplifiedITS	Wickerhamomyces anomalus	DAV10C1ITS2.fa	Wickerhamomyces anomalus	1016	0.0	NA	304	KT207045
DAV11B.1_ITS	DBAK44	DAV11B.1	DAV11b	otherAmplifiedITS	Wickerhamomyces anomalus	DAV11B1ITS2.fa	Wickerhamomyces anomalus	991	0.0	NA	304	KT207046
DAV11E.1_ITS	DBAK46	DAV11E.1	DAV11e	otherAmplifiedITS	Wickerhamomyces anomalus	DAV11E1ITS2.fa	Wickerhamomyces anomalus	1003	0.0	NA	304	KT207047
DAV11E.1_ITS	DBAK46	DAV11E.1	DAV11e	otherAmplifiedITS	Wickerhamomyces anomalus	DAV11E1ITS2.fa	Wickerhamomyces anomalus	1003	0.0	NA	304	KT207047
DAV1A.1_CEN9	DBAA3	DAV1A.1	DAV1a	Spar	Saccharomyces paradoxus	DAV1a1c9r.fa	Saccharomyces paradoxus	592	1e-166	NA	551	KT207048
DAV.1B.1_ITS	DBAA5	DAV.1B.1	DAV1b	otherAmplifiedITS	Saccharomycetaceae sp.	DAV1B1_ITS2.fa	Saccharomyces paradoxus	1314	0.0	NA	1301	NA
DAV.1B.1_ITS_2	DBAA5	DAV.1B.1	DAV1b	otherAmplifiedITS	Saccharomycetaceae sp.	Dav1b1its2_2.fa	Lachancea thermotolerans	1058	0.0	NA	349	NA
DAV1E.1_CEN9	DBAJ76	DAV1E.1	DAV1e	Scer	Saccharomyces cerevisiae	DAV1e1c9.fa	Saccharomyces cerevisiae	1242	0.0	NA	136	KT207049
DAV1E.1_CEN9_2	DBAJ76	DAV1E.1	DAV1e	Scer	Saccharomyces cerevisiae	DAV1E1CERC9.fa	Saccharomyces cerevisiae	1242	0.0	NA	136	NA
DAV1F.1_ITS	DBAJ78	DAV1F.1	DAV1f	otherAmplifiedITS	Wickerhamomyces anomalus	Dav1f1SL1.fa	Wickerhamomyces anomalus	1005	0.0	NA	304	KT207050
DAV7A.1_ITS	DBAJ80	DAV7A.1	DAV7a	otherAmplifiedITS	Metschnikowia bicuspidata	DAV7A1ITS2.fa	Metschnikowia bicuspidata	506	1e-140	NA	217	KT207051
DAV7B.1_ITS	DBAK1	DAV7B.1	DAV7b	otherAmplifiedITS	Wickerhamomyces anomalus	DAV7B1ITS2.fa	Wickerhamomyces anomalus	1040	0.0	NA	304	KT207052
DAV7C.1_ITS	DBAK3	DAV7C.1	DAV7c	otherAmplifiedITS	Wickerhamomyces anomalus	DAV7C1ITS2.fa	Wickerhamomyces anomalus	1029	0.0	NA	304	KT207053
DAV7C.1_ITS	DBAK3	DAV7C.1	DAV7c	otherAmplifiedITS	Wickerhamomyces anomalus	DAV7C1ITS2.fa	Wickerhamomyces anomalus	1029	0.0	NA	304	KT207053
DAV8A.1_CEN9	DBAK5	DAV8A.1	DAV8a	Scer	Saccharomyces cerevisiae	DAV8A1C9.fa	Saccharomyces cerevisiae	682	0.0	NA	NA	KT207054
DAV8A.1_CEN9_2	DBAK5	DAV8A.1	DAV8a	Scer	Saccharomyces cerevisiae	DAV8A1CERC9.fa	Saccharomyces cerevisiae	682	0.0	NA	NA	NA
DAV8A.1_ITS	DBAK5	DAV8A.1	DAV8a	Scer	Saccharomyces cerevisiae	dav8a1S1L.fa	Saccharomyces cerevisiae	1095	0.0	NA	1058	KT207055
DAV9A.1_ITS	DBAK7	DAV9A.1	DAV9a	otherAmplifiedITS	Pichia manshurica	DAV9a1ITS2q25.fa	Pichia manshurica	161	6e-37	NA	NA	NA
DAV9B.1_ITS	DBAK9	DAV9B.1	DAV9b	otherAmplifiedITS	Wickerhamomyces anomalus	DAV9B1ITS2.fa	Wickerhamomyces anomalus	901	0.0	NA	304	KT207056
DAV9C.1_CEN9	DBAK11	DAV9C.1	DAV9c	Scer	Saccharomyces cerevisiae	DAV9C1c9.fa	Saccharomyces cerevisiae	1222	0.0	NA	127	KT207057
DAV9C.1_ITS	DBAK11	DAV9C.1	DAV9c	Scer	Saccharomyces cerevisiae	dav9c1s1l.fa	Saccharomyces cerevisiae	1323	0.0	NA	1276	KT207058
DAV9D.1_CEN9	DBAK38	DAV9D.1	DAV9d	Scer	Saccharomyces cerevisiae	DAV9D1_CERC9.fa.fa	Saccharomyces cerevisiae	1195	0.0	NA	111	KT207059
DAV9D.1_ITS	DBAK38	DAV9D.1	DAV9d	Scer	Saccharomyces cerevisiae	DAV9D1S1L.fa.fa	Saccharomyces cerevisiae	1348	0.0	NA	1297	KT207060
DAV9D.SM_CEN15	DBAK39	DAV9D.SM	DAV9d	Scer	Saccharomyces cerevisiae	DAV9DSM_CERC15.fa	Saccharomyces cerevisiae	1058	0.0	NA	118	KT207061
DAV9D.SM_CEN15_2	DBAK39	DAV9D.SM	DAV9d	Scer	Saccharomyces cerevisiae	Dav9dSMcerC15.fa	Saccharomyces cerevisiae	1097	0.0	NA	158	NA
DAV9D.SM_ITS	DBAK39	DAV9D.SM	DAV9d	Scer	Saccharomyces cerevisiae	Dav9dSMits2.fa	Saccharomyces cerevisiae	1287	0.0	NA	1234	KT207062
DAVAUXA.1_CEN9	DBAK49	DAVAUXA.1	DAVAUXa	Scer	Saccharomyces cerevisiae	DavAuxA1cerC9.fa	Saccharomyces cerevisiae	1108	0.0	NA	107	KT207063
DAVAUXA.1_ITS	DBAK49	DAVAUXA.1	DAVAUXa	Scer	Saccharomyces cerevisiae	DAVAUXA1ITS2.fa	Saccharomyces cerevisiae	1141	0.0	NA	1092	KT207064
DAVAUXB.1_CEN9	DBAK59	DAVAUXB.1	DAVAUXb	Scer	Saccharomyces cerevisiae	DAVAUXb1c9f.fa	Saccharomyces cerevisiae	627	5e-177	NA	NA	NA
DAVAUXG.1_CEN15	DBAK51	DAVAUXG.1	DAVAUXg	Scer	Saccharomyces cerevisiae	DAVauxG1pc15.fa	Saccharomyces cerevisiae	940	0.0	NA	NA	KT207065
DAVAUXG.SM_CEN9	DBAK52	DAVAUXG.SM	DAVAUXg	Scer	Saccharomyces cerevisiae	DAVAUXGSMCERC9.fa	Saccharomyces cerevisiae	1077	0.0	NA	NA	KT207066
DAVPINA.1_ITS	DBAK53	DAVPINA.1	DAVPINa	Scer,otherAmplifiedITS	Dekkera bruxellensis	DAVPINA1ITS2.fa	Dekkera bruxellensis	289	2e-75	NA	NA	KT207067
DAVPINA.SM_CEN9	DBAK54	DAVPINA.SM	DAVPINa	Scer,otherAmplifiedITS	Saccharomyces cerevisiae	DAVPINASMCERC9.fa	Saccharomyces cerevisiae	1225	0.0	NA	118	KT207068
DAVPINB.1_ITS	DBAK57	DAVPINB.1	DAVPINb	otherAmplifiedITS	Dekkera bruxellensis	DAVPINB1ITS2.fa	Dekkera bruxellensis	269	2e-69	NA	NA	NA
DAVPING.1_ITS	DBAK55	DAVPING.1	DAVPINg	Scer	Saccharomyces cerevisiae	DAVPING1ITS2.fa	Saccharomyces cerevisiae	444	4e-122	NA	419	NA
FGXD.1B_CEN15	DBAF22	FGXD.1B	FGXd	Scer	Saccharomyces cerevisiae	fgxd1bc15consensus.fa.fa	Saccharomyces cerevisiae	1063	0.0	NA	132	KT207069
FGXD.1D_CEN15	DBAI60	FGXD.1D	FGXd	Scer	Saccharomyces cerevisiae	fgxd1dc15.fa.fa	Saccharomyces cerevisiae	1113	0.0	NA	147	KT207070
FGXD.1D_CEN15_2	DBAI60	FGXD.1D	FGXd	Scer	Saccharomyces cerevisiae	FgxD1dcerC15.fa	Saccharomyces cerevisiae	1113	0.0	NA	147	NA
FGXD.1D_ITS	DBAI60	FGXD.1D	FGXd	Scer	Saccharomyces cerevisiae	fgxd1ds1l.fa	Saccharomyces cerevisiae	1342	0.0	NA	1290	KT207071
FGXD.SM_CEN15	DBAB17	FGXD.SM	FGXd	Scer	Saccharomyces cerevisiae	fgxdsmc15consensus.fa.fa	Saccharomyces cerevisiae	886	0.0	NA	NA	KT207072
FRI10B.1_ITS	DBAH18	FRI10B.1	FRI10b	otherAmplifiedITS	Candida albicans	FRI10B1ITS2.fa	Candida albicans	630	4e-178	NA	223	KT207073
FRI10C.1_ITS	DBAJ28	FRI10C.1	FRI10c	otherAmplifiedITS	Lachancea thermotolerans	FRI10C1_ITS2.fa	Lachancea thermotolerans	989	0.0	NA	352	KT207074
